Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
B: Housing & Neighborhood,Keep,Keep,movefamsize,Reason for past move: Family Size,,Reason for past move: Family Size,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Family size (ex. Number of people in family changed)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.","This variable indicates whether a participant moved because of a change in family size (e.g. birth, marriage, or adoption).",,0,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movefore,Reason for past move: Foreclosure,,Reason for past move: Foreclosure,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Foreclosure (ex. Unable to pay your mortgage or landlord was foreclosed on)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of forclosure.,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movegentrif,Reason for past move: Gentrification,,Reason for past move: Gentrification,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Gentrification"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of gentrification.,,0,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movejob,Reason for past move: Job or Employment Change,,Reason for past move: Job,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Job (ex. Moved for a new job or closer to job opportunities)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of a job (e.g. to be closer to a new job or more job opportunities).,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,moverel,Reason for past move: Change of Relationship,,Reason for past move: Relationship Change,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Relationship change (ex. Marriage, move in/out with partner)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.","This variable indicates whether a participant moved because of a relationship change (e.g. marriage, divorce).",,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movesocserv,Reason for past move: Closer to Social Services,,Reason for past move: Social Services,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Social Services"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved to be closer to social services.,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movestores,Reason for past move: Closer to Amenities,,Reason for past move: Stores and Facilities,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Stores & facilities (ex. None in old neighborhood, move closer to stores/facilities)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of access to amenities (e.g. there were no stores in my old neighborhood).,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movefamily,Reason for past move: Closer to Family,,Reason for past move: Closer to Family,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Wanted to be closer to family"" in response to the survey question: ""Why did you move?"" The possible response options are: Checked and Unchecked.",This variable indicates whether a participant moved to be closer to family.,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movehealth,Reason for past move: Health,,Reason for past move: Health,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Health reasons"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of health reasons,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movedisaster,Reason for past move: Disaster,,Reason for past move: Natural Disaster,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Natural Disaster"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of a natural disaster.,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,moveother,Reason for past move: Other,,Reason for past move: Other,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Other"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved for reasons not listed on the survey.,,141,877,1040,822
B: Housing & Neighborhood,Remove,Keep,moveothertxt,,,,text,Other reasons respondent moved,0,,,,30,31,72,52
B: Housing & Neighborhood,Keep,Keep,neighleave,Wants to leave neighborhood,4a. Do you want to leave this neighborhood?,Want to leave neighborhood?,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Do you want to leave this neighborhood?"" The response options are: Yes and No.","This variable provides responses to the survey question ""Do you want to leave this neighborhood?"" The response options are: Yes and No.",,0,0,1008,807
B: Housing & Neighborhood,Keep,Keep,movenxt5,Will leave neighborhood in next 5 years,4b. Do you think you will leave this neighborhood within the next 5 years? ,Will leave neighborhood?,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Do you think you will leave this neighborhood within the next 5 years?"" The response options are: Yes and No.","This variable provides responses to the survey question ""Do you think you will leafe this neighborhood within the next 5 years?"" The response options are: Yes and No.",,341,820,1001,796
B: Housing & Neighborhood,Keep,Keep,movenxt5aff,Reason for potential future move: Affordability,,Reason for potential future move: Affordability,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Affordability"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.","This variable provides the percentage of respondents who checked ""affordability"" as a reason they believe they will leave their neighborhod in the next 5 years. Only respondents who think they wil leave their neighborhood wihtin the next 5 years answered this question.",,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5cult,Reason for potential future move: Change of Culture,,Reason for potential future move: Change of Culture,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Change of culture"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether change of culture is a reason why a respondent believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5com,Reason for potential future move: Commute,,Reason for potential future move: Commute,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Commute"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether commute is a reason why the participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxtcrime,Reason for potential future move: Crime,,Reason for potential future move: Crime or Drugs,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Crime or drugs"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether crime and/or drugs is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5edu,Reason for potential future move: Education,,Reason for potential future move: Education,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Education"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether education is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5env,Reason for potential future move: Environment Quality,,Reason for potential future move: Environment Quality,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Environmental quality"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether environmental quality is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5eth,Reason for potential future move: Racial Tensions,,Reason for potential future move: Ethnic/Racial Tensions,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Ethnic/racial tensions"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether racial tensions are a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
